National - Regional - LA - OAs,Month,People on Universal Credit,dttm
Brent,July 2022,42876,2022-07-01
Brent,August 2022,42835,2022-08-01
Brent,September 2022,42915,2022-09-01
Brent,October 2022,43420,2022-10-01
Brent,November 2022,43716,2022-11-01
Brent,December 2022,44068,2022-12-01
Brent,January 2023,44077,2023-01-01
Brent,February 2023,44449,2023-02-01
Brent,March 2023,44546,2023-03-01
Brent,April 2023,44956,2023-04-01
Brent,May 2023,45144,2023-05-01
Brent,June 2023,45721,2023-06-01
Brent,July 2023,46128,2023-07-01
Brent,August 2023,46359,2023-08-01
Brent,September 2023,46450,2023-09-01
Brent,October 2023,46884,2023-10-01
Brent,November 2023,47306,2023-11-01
Brent,December 2023,48471,2023-12-01
Bromley,January 2020,8561,2020-01-01
Bromley,February 2020,9058,2020-02-01
Bromley,March 2020,9386,2020-03-01
Bromley,April 2020,13059,2020-04-01
Bromley,May 2020,20120,2020-05-01
Bromley,June 2020,20830,2020-06-01
Bromley,July 2020,21220,2020-07-01
Bromley,August 2020,21215,2020-08-01
Bromley,September 2020,21599,2020-09-01
Bromley,October 2020,21798,2020-10-01
Bromley,November 2020,22598,2020-11-01
Bromley,December 2020,23005,2020-12-01
Bromley,January 2021,23031,2021-01-01
Bromley,February 2021,22956,2021-02-01
Bromley,March 2021,23075,2021-03-01
Bromley,April 2021,22888,2021-04-01
Bromley,May 2021,22687,2021-05-01
Bromley,June 2021,22307,2021-06-01
Bromley,July 2021,21817,2021-07-01
Bromley,August 2021,21510,2021-08-01
Bromley,September 2021,21218,2021-09-01
Bromley,October 2021,20964,2021-10-01
Bromley,November 2021,20552,2021-11-01
Bromley,December 2021,20196,2021-12-01
Bromley,January 2022,19911,2022-01-01
Bromley,February 2022,19856,2022-02-01
Bromley,March 2022,19560,2022-03-01
Bromley,April 2022,19515,2022-04-01
Bromley,May 2022,19452,2022-05-01
Bromley,June 2022,19496,2022-06-01
Bromley,July 2022,19720,2022-07-01
Bromley,August 2022,19860,2022-08-01
Bromley,September 2022,19927,2022-09-01
Bromley,October 2022,20147,2022-10-01
Bromley,November 2022,20234,2022-11-01
Bromley,December 2022,20403,2022-12-01
Bromley,January 2023,20436,2023-01-01
Bromley,February 2023,20544,2023-02-01
Bromley,March 2023,20624,2023-03-01
Bromley,April 2023,20787,2023-04-01
Bromley,May 2023,20890,2023-05-01
Bromley,June 2023,21063,2023-06-01
Bromley,July 2023,21298,2023-07-01
Bromley,August 2023,21412,2023-08-01
Bromley,September 2023,21652,2023-09-01
Bromley,October 2023,21871,2023-10-01
Bromley,November 2023,22136,2023-11-01
Bromley,December 2023,22811,2023-12-01
Croydon,January 2020,28928,2020-01-01
Croydon,February 2020,29821,2020-02-01
Croydon,March 2020,30352,2020-03-01
Croydon,April 2020,38070,2020-04-01
Croydon,May 2020,46399,2020-05-01
Croydon,June 2020,48176,2020-06-01
Croydon,July 2020,48832,2020-07-01
Croydon,August 2020,49815,2020-08-01
Croydon,September 2020,50615,2020-09-01
Croydon,October 2020,50955,2020-10-01
Croydon,November 2020,52078,2020-11-01
Croydon,December 2020,52691,2020-12-01
Croydon,January 2021,52876,2021-01-01
Croydon,February 2021,52847,2021-02-01
Croydon,March 2021,53001,2021-03-01
Croydon,April 2021,52870,2021-04-01
Croydon,May 2021,52692,2021-05-01
Croydon,June 2021,52475,2021-06-01
Croydon,July 2021,52130,2021-07-01
Croydon,August 2021,51729,2021-08-01
Croydon,September 2021,51055,2021-09-01
Croydon,October 2021,50548,2021-10-01
Croydon,November 2021,49938,2021-11-01
Croydon,December 2021,49285,2021-12-01
Croydon,January 2022,48579,2022-01-01
Croydon,February 2022,48397,2022-02-01
Croydon,March 2022,47959,2022-03-01
Croydon,April 2022,47792,2022-04-01
Croydon,May 2022,47591,2022-05-01
Croydon,June 2022,47535,2022-06-01
Croydon,July 2022,47780,2022-07-01
Croydon,August 2022,47947,2022-08-01
Croydon,September 2022,48009,2022-09-01
Croydon,October 2022,48149,2022-10-01
Croydon,November 2022,48316,2022-11-01
Croydon,December 2022,48279,2022-12-01
Croydon,January 2023,48373,2023-01-01
Croydon,February 2023,48489,2023-02-01
Croydon,March 2023,48464,2023-03-01
Croydon,April 2023,48794,2023-04-01
Croydon,May 2023,49158,2023-05-01
Croydon,June 2023,49447,2023-06-01
Croydon,July 2023,49775,2023-07-01
Croydon,August 2023,49871,2023-08-01
Croydon,September 2023,50135,2023-09-01
Croydon,October 2023,50528,2023-10-01
Croydon,November 2023,50937,2023-11-01
Croydon,December 2023,51860,2023-12-01
Ealing,January 2020,17017,2020-01-01
Ealing,February 2020,17825,2020-02-01
Ealing,March 2020,18429,2020-03-01
Ealing,April 2020,23485,2020-04-01
Ealing,May 2020,35511,2020-05-01
Ealing,June 2020,38073,2020-06-01
Ealing,July 2020,39169,2020-07-01
Ealing,August 2020,39824,2020-08-01
Ealing,September 2020,40747,2020-09-01
Ealing,October 2020,41498,2020-10-01
Ealing,November 2020,42980,2020-11-01
Ealing,December 2020,43811,2020-12-01
Ealing,January 2021,44210,2021-01-01
Ealing,February 2021,44825,2021-02-01
Ealing,March 2021,45123,2021-03-01
Ealing,April 2021,45137,2021-04-01
Ealing,May 2021,45122,2021-05-01
Ealing,June 2021,45008,2021-06-01
Ealing,July 2021,45042,2021-07-01
Ealing,August 2021,44791,2021-08-01
Ealing,September 2021,44259,2021-09-01
Ealing,October 2021,43894,2021-10-01
Ealing,November 2021,43592,2021-11-01
Ealing,December 2021,42699,2021-12-01
Ealing,January 2022,42079,2022-01-01
Ealing,February 2022,41985,2022-02-01
Ealing,March 2022,41635,2022-03-01
Ealing,April 2022,41709,2022-04-01
Ealing,May 2022,41592,2022-05-01
Ealing,June 2022,41818,2022-06-01
Ealing,July 2022,41972,2022-07-01
Ealing,August 2022,42222,2022-08-01
Ealing,September 2022,42439,2022-09-01
Ealing,October 2022,42567,2022-10-01
Ealing,November 2022,42704,2022-11-01
Ealing,December 2022,42872,2022-12-01
Ealing,January 2023,42888,2023-01-01
Ealing,February 2023,43187,2023-02-01
Ealing,March 2023,43358,2023-03-01
Ealing,April 2023,43775,2023-04-01
Ealing,May 2023,43979,2023-05-01
Ealing,June 2023,44353,2023-06-01
Ealing,July 2023,44709,2023-07-01
Ealing,August 2023,44963,2023-08-01
Ealing,September 2023,45112,2023-09-01
Ealing,October 2023,45657,2023-10-01
Ealing,November 2023,46395,2023-11-01
Ealing,December 2023,47244,2023-12-01
Enfield,January 2020,20291,2020-01-01
Enfield,February 2020,21297,2020-02-01
Enfield,March 2020,22025,2020-03-01
Enfield,April 2020,28459,2020-04-01
Enfield,May 2020,37421,2020-05-01
Enfield,June 2020,39567,2020-06-01
Enfield,July 2020,40425,2020-07-01
Enfield,August 2020,40889,2020-08-01
Enfield,September 2020,41649,2020-09-01
Enfield,October 2020,42425,2020-10-01
Enfield,November 2020,43765,2020-11-01
Enfield,December 2020,44815,2020-12-01
Enfield,January 2021,45259,2021-01-01
Enfield,February 2021,46198,2021-02-01
Enfield,March 2021,46476,2021-03-01
Enfield,April 2021,46517,2021-04-01
Enfield,May 2021,46219,2021-05-01
Enfield,June 2021,45621,2021-06-01
Enfield,July 2021,45280,2021-07-01
Enfield,August 2021,44802,2021-08-01
Enfield,September 2021,44356,2021-09-01
Enfield,October 2021,44321,2021-10-01
Enfield,November 2021,43929,2021-11-01
Enfield,December 2021,43673,2021-12-01
Enfield,January 2022,43323,2022-01-01
Enfield,February 2022,43246,2022-02-01
Enfield,March 2022,42988,2022-03-01
Enfield,April 2022,43257,2022-04-01
Enfield,May 2022,43306,2022-05-01
Enfield,June 2022,43595,2022-06-01
Enfield,July 2022,43808,2022-07-01
Enfield,August 2022,43677,2022-08-01
Enfield,September 2022,43531,2022-09-01
Enfield,October 2022,43603,2022-10-01
Enfield,November 2022,43660,2022-11-01
Enfield,December 2022,43512,2022-12-01
Enfield,January 2023,43482,2023-01-01
Enfield,February 2023,43835,2023-02-01
Enfield,March 2023,44006,2023-03-01
Enfield,April 2023,44243,2023-04-01
Enfield,May 2023,44677,2023-05-01
Enfield,June 2023,44857,2023-06-01
Enfield,July 2023,45161,2023-07-01
Enfield,August 2023,45252,2023-08-01
Enfield,September 2023,45646,2023-09-01
Enfield,October 2023,46515,2023-10-01
Enfield,November 2023,47174,2023-11-01
Enfield,December 2023,48108,2023-12-01
Greenwich,January 2020,11788,2020-01-01
Greenwich,February 2020,12567,2020-02-01
Greenwich,March 2020,13121,2020-03-01
Greenwich,April 2020,18195,2020-04-01
Greenwich,May 2020,26318,2020-05-01
Greenwich,June 2020,27909,2020-06-01
Greenwich,July 2020,28677,2020-07-01
Greenwich,August 2020,29392,2020-08-01
Greenwich,September 2020,30088,2020-09-01
Greenwich,October 2020,30369,2020-10-01
Greenwich,November 2020,31338,2020-11-01
Greenwich,December 2020,32263,2020-12-01
Greenwich,January 2021,32465,2021-01-01
Greenwich,February 2021,32749,2021-02-01
Greenwich,March 2021,32922,2021-03-01
Greenwich,April 2021,32876,2021-04-01
Greenwich,May 2021,32850,2021-05-01
Greenwich,June 2021,32842,2021-06-01
Greenwich,July 2021,32685,2021-07-01
Greenwich,August 2021,32645,2021-08-01
Greenwich,September 2021,32276,2021-09-01
Greenwich,October 2021,31830,2021-10-01
Greenwich,November 2021,31492,2021-11-01
Greenwich,December 2021,30864,2021-12-01
Greenwich,January 2022,30332,2022-01-01
Greenwich,February 2022,30162,2022-02-01
Greenwich,March 2022,29905,2022-03-01
Greenwich,April 2022,29970,2022-04-01
Greenwich,May 2022,29867,2022-05-01
Greenwich,June 2022,29935,2022-06-01
Greenwich,July 2022,30157,2022-07-01
Greenwich,August 2022,30382,2022-08-01
Greenwich,September 2022,30587,2022-09-01
Greenwich,October 2022,30811,2022-10-01
Greenwich,November 2022,30939,2022-11-01
Greenwich,December 2022,30889,2022-12-01
Greenwich,January 2023,30838,2023-01-01
Greenwich,February 2023,30977,2023-02-01
Greenwich,March 2023,31035,2023-03-01
Greenwich,April 2023,31217,2023-04-01
Greenwich,May 2023,31491,2023-05-01
Greenwich,June 2023,31708,2023-06-01
Greenwich,July 2023,31988,2023-07-01
Greenwich,August 2023,32206,2023-08-01
Greenwich,September 2023,32470,2023-09-01
Greenwich,October 2023,32906,2023-10-01
Greenwich,November 2023,33097,2023-11-01
Greenwich,December 2023,33966,2023-12-01
Harrow,January 2020,7946,2020-01-01
Harrow,February 2020,8516,2020-02-01
Harrow,March 2020,8822,2020-03-01
Harrow,April 2020,11562,2020-04-01
Harrow,May 2020,18901,2020-05-01
Harrow,June 2020,20606,2020-06-01
Harrow,July 2020,20857,2020-07-01
Harrow,August 2020,21072,2020-08-01
Harrow,September 2020,21493,2020-09-01
Harrow,October 2020,21981,2020-10-01
Harrow,November 2020,22580,2020-11-01
Harrow,December 2020,22992,2020-12-01
Harrow,January 2021,23241,2021-01-01
Harrow,February 2021,23562,2021-02-01
Harrow,March 2021,23683,2021-03-01
Harrow,April 2021,23630,2021-04-01
Harrow,May 2021,23484,2021-05-01
Harrow,June 2021,23256,2021-06-01
Harrow,July 2021,23219,2021-07-01
Harrow,August 2021,23051,2021-08-01
Harrow,September 2021,22661,2021-09-01
Harrow,October 2021,22402,2021-10-01
Harrow,November 2021,22201,2021-11-01
Harrow,December 2021,21947,2021-12-01
Harrow,January 2022,21659,2022-01-01
Harrow,February 2022,21540,2022-02-01
Harrow,March 2022,21373,2022-03-01
Harrow,April 2022,21349,2022-04-01
Harrow,May 2022,21266,2022-05-01
Harrow,June 2022,21192,2022-06-01
Harrow,July 2022,21138,2022-07-01
Harrow,August 2022,21129,2022-08-01
Harrow,September 2022,21211,2022-09-01
Harrow,October 2022,21294,2022-10-01
Harrow,November 2022,21348,2022-11-01
Harrow,December 2022,21450,2022-12-01
Harrow,January 2023,21537,2023-01-01
Harrow,February 2023,21466,2023-02-01
Harrow,March 2023,21418,2023-03-01
Harrow,April 2023,21556,2023-04-01
Harrow,May 2023,21627,2023-05-01
Harrow,June 2023,21852,2023-06-01
Harrow,July 2023,22042,2023-07-01
Harrow,August 2023,22180,2023-08-01
Harrow,September 2023,22138,2023-09-01
Harrow,October 2023,22318,2023-10-01
Harrow,November 2023,22567,2023-11-01
Harrow,December 2023,22965,2023-12-01
Havering,January 2020,8727,2020-01-01
Havering,February 2020,9233,2020-02-01
Havering,March 2020,9649,2020-03-01
Havering,April 2020,15051,2020-04-01
Havering,May 2020,20024,2020-05-01
Havering,June 2020,20641,2020-06-01
Havering,July 2020,20825,2020-07-01
Havering,August 2020,20765,2020-08-01
Havering,September 2020,21078,2020-09-01
Havering,October 2020,21224,2020-10-01
Havering,November 2020,21419,2020-11-01
Havering,December 2020,21909,2020-12-01
Havering,January 2021,22090,2021-01-01
Havering,February 2021,22258,2021-02-01
Havering,March 2021,22379,2021-03-01
Havering,April 2021,22278,2021-04-01
Havering,May 2021,21993,2021-05-01
Havering,June 2021,21782,2021-06-01
Havering,July 2021,21484,2021-07-01
Havering,August 2021,21312,2021-08-01
Havering,September 2021,21054,2021-09-01
Havering,October 2021,20908,2021-10-01
Havering,November 2021,20681,2021-11-01
Havering,December 2021,20574,2021-12-01
Havering,January 2022,20054,2022-01-01
Havering,February 2022,19972,2022-02-01
Havering,March 2022,19745,2022-03-01
Havering,April 2022,19802,2022-04-01
Havering,May 2022,19801,2022-05-01
Havering,June 2022,19925,2022-06-01
Havering,July 2022,20101,2022-07-01
Havering,August 2022,20238,2022-08-01
Havering,September 2022,20345,2022-09-01
Havering,October 2022,20617,2022-10-01
Havering,November 2022,20756,2022-11-01
Havering,December 2022,20805,2022-12-01
Havering,January 2023,20866,2023-01-01
Havering,February 2023,21005,2023-02-01
Havering,March 2023,21139,2023-03-01
Havering,April 2023,21376,2023-04-01
Havering,May 2023,21498,2023-05-01
Havering,June 2023,21716,2023-06-01
Havering,July 2023,21800,2023-07-01
Havering,August 2023,22162,2023-08-01
Havering,September 2023,22537,2023-09-01
Havering,October 2023,22843,2023-10-01
Havering,November 2023,23017,2023-11-01
Havering,December 2023,23377,2023-12-01
Hillingdon,January 2020,10059,2020-01-01
Hillingdon,February 2020,10799,2020-02-01
Hillingdon,March 2020,11427,2020-03-01
Hillingdon,April 2020,15897,2020-04-01
Hillingdon,May 2020,23967,2020-05-01
Hillingdon,June 2020,25493,2020-06-01
Hillingdon,July 2020,26138,2020-07-01
Hillingdon,August 2020,26502,2020-08-01
Hillingdon,September 2020,27256,2020-09-01
Hillingdon,October 2020,27882,2020-10-01
Hillingdon,November 2020,28670,2020-11-01
Hillingdon,December 2020,29479,2020-12-01
Hillingdon,January 2021,29851,2021-01-01
Hillingdon,February 2021,30309,2021-02-01
Hillingdon,March 2021,30513,2021-03-01
Hillingdon,April 2021,30406,2021-04-01
Hillingdon,May 2021,30353,2021-05-01
Hillingdon,June 2021,30191,2021-06-01
Hillingdon,July 2021,29850,2021-07-01
Hillingdon,August 2021,29711,2021-08-01
Hillingdon,September 2021,29534,2021-09-01
Hillingdon,October 2021,29275,2021-10-01
Hillingdon,November 2021,28845,2021-11-01
Hillingdon,December 2021,28188,2021-12-01
Hillingdon,January 2022,27800,2022-01-01
Hillingdon,February 2022,27726,2022-02-01
Hillingdon,March 2022,27432,2022-03-01
Hillingdon,April 2022,27397,2022-04-01
Hillingdon,May 2022,27339,2022-05-01
Hillingdon,June 2022,27391,2022-06-01
Hillingdon,July 2022,27419,2022-07-01
Hillingdon,August 2022,27595,2022-08-01
Hillingdon,September 2022,27653,2022-09-01
Hillingdon,October 2022,27828,2022-10-01
Hillingdon,November 2022,27951,2022-11-01
Hillingdon,December 2022,28187,2022-12-01
Hillingdon,January 2023,28183,2023-01-01
Hillingdon,February 2023,28418,2023-02-01
Hillingdon,March 2023,28470,2023-03-01
Hillingdon,April 2023,28649,2023-04-01
Hillingdon,May 2023,28760,2023-05-01
Hillingdon,June 2023,28943,2023-06-01
Hillingdon,July 2023,29180,2023-07-01
Hillingdon,August 2023,29325,2023-08-01
Hillingdon,September 2023,29611,2023-09-01
Hillingdon,October 2023,29983,2023-10-01
Hillingdon,November 2023,30260,2023-11-01
Hillingdon,December 2023,30747,2023-12-01
Hounslow,January 2020,19556,2020-01-01
Hounslow,February 2020,19942,2020-02-01
Hounslow,March 2020,20335,2020-03-01
Hounslow,April 2020,24899,2020-04-01
Hounslow,May 2020,32883,2020-05-01
Hounslow,June 2020,34626,2020-06-01
Hounslow,July 2020,35506,2020-07-01
Hounslow,August 2020,36136,2020-08-01
Hounslow,September 2020,36897,2020-09-01
Hounslow,October 2020,37471,2020-10-01
Hounslow,November 2020,38450,2020-11-01
Hounslow,December 2020,39193,2020-12-01
Hounslow,January 2021,39515,2021-01-01
Hounslow,February 2021,39957,2021-02-01
Hounslow,March 2021,40093,2021-03-01
Hounslow,April 2021,39989,2021-04-01
Hounslow,May 2021,39825,2021-05-01
Hounslow,June 2021,39485,2021-06-01
Hounslow,July 2021,39074,2021-07-01
Hounslow,August 2021,38634,2021-08-01
Hounslow,September 2021,38234,2021-09-01
Hounslow,October 2021,37779,2021-10-01
Hounslow,November 2021,37331,2021-11-01
Hounslow,December 2021,36772,2021-12-01
Hounslow,January 2022,36348,2022-01-01
Hounslow,February 2022,36151,2022-02-01
Hounslow,March 2022,35830,2022-03-01
Hounslow,April 2022,35707,2022-04-01
Hounslow,May 2022,35589,2022-05-01
Hounslow,June 2022,35592,2022-06-01
Hounslow,July 2022,35752,2022-07-01
Hounslow,August 2022,35889,2022-08-01
Hounslow,September 2022,35925,2022-09-01
Hounslow,October 2022,36045,2022-10-01
Hounslow,November 2022,36045,2022-11-01
Hounslow,December 2022,36130,2022-12-01
Hounslow,January 2023,36186,2023-01-01
Hounslow,February 2023,36397,2023-02-01
Hounslow,March 2023,36387,2023-03-01
Hounslow,April 2023,36552,2023-04-01
Hounslow,May 2023,36669,2023-05-01
Hounslow,June 2023,36831,2023-06-01
Hounslow,July 2023,36973,2023-07-01
Hounslow,August 2023,37056,2023-08-01
Hounslow,September 2023,37330,2023-09-01
Hounslow,October 2023,37664,2023-10-01
Hounslow,November 2023,37971,2023-11-01
Hounslow,December 2023,38494,2023-12-01
Kingston upon Thames,January 2020,4672,2020-01-01
Kingston upon Thames,February 2020,4947,2020-02-01
Kingston upon Thames,March 2020,5109,2020-03-01
Kingston upon Thames,April 2020,6609,2020-04-01
Kingston upon Thames,May 2020,10451,2020-05-01
Kingston upon Thames,June 2020,11008,2020-06-01
Kingston upon Thames,July 2020,11243,2020-07-01
Kingston upon Thames,August 2020,11359,2020-08-01
Kingston upon Thames,September 2020,11532,2020-09-01
Kingston upon Thames,October 2020,11646,2020-10-01
Kingston upon Thames,November 2020,11883,2020-11-01
Kingston upon Thames,December 2020,12082,2020-12-01
Kingston upon Thames,January 2021,12148,2021-01-01
Kingston upon Thames,February 2021,12226,2021-02-01
Kingston upon Thames,March 2021,12261,2021-03-01
Kingston upon Thames,April 2021,12186,2021-04-01
Kingston upon Thames,May 2021,11988,2021-05-01
Kingston upon Thames,June 2021,11722,2021-06-01
Kingston upon Thames,July 2021,11461,2021-07-01
Kingston upon Thames,August 2021,11298,2021-08-01
Kingston upon Thames,September 2021,11095,2021-09-01
Kingston upon Thames,October 2021,10967,2021-10-01
Kingston upon Thames,November 2021,10796,2021-11-01
Kingston upon Thames,December 2021,10666,2021-12-01
Kingston upon Thames,January 2022,10584,2022-01-01
Kingston upon Thames,February 2022,10518,2022-02-01
Kingston upon Thames,March 2022,10451,2022-03-01
Kingston upon Thames,April 2022,10399,2022-04-01
Kingston upon Thames,May 2022,10380,2022-05-01
Kingston upon Thames,June 2022,10433,2022-06-01
Kingston upon Thames,July 2022,10541,2022-07-01
Kingston upon Thames,August 2022,10615,2022-08-01
Kingston upon Thames,September 2022,10618,2022-09-01
Kingston upon Thames,October 2022,10670,2022-10-01
Kingston upon Thames,November 2022,10732,2022-11-01
Kingston upon Thames,December 2022,10786,2022-12-01
Kingston upon Thames,January 2023,10826,2023-01-01
Kingston upon Thames,February 2023,10864,2023-02-01
Kingston upon Thames,March 2023,10906,2023-03-01
Kingston upon Thames,April 2023,11007,2023-04-01
Kingston upon Thames,May 2023,11020,2023-05-01
Kingston upon Thames,June 2023,11053,2023-06-01
Kingston upon Thames,July 2023,11162,2023-07-01
Kingston upon Thames,August 2023,11167,2023-08-01
Kingston upon Thames,September 2023,11234,2023-09-01
Kingston upon Thames,October 2023,11330,2023-10-01
Kingston upon Thames,November 2023,11409,2023-11-01
Kingston upon Thames,December 2023,11635,2023-12-01
Camden,January 2020,7347,2020-01-01
Camden,February 2020,7750,2020-02-01
Camden,March 2020,8033,2020-03-01
Camden,April 2020,11416,2020-04-01
Camden,May 2020,16099,2020-05-01
Camden,June 2020,17043,2020-06-01
Camden,July 2020,17467,2020-07-01
Camden,August 2020,17755,2020-08-01
Camden,September 2020,18111,2020-09-01
Camden,October 2020,18431,2020-10-01
Camden,November 2020,19118,2020-11-01
Camden,December 2020,19705,2020-12-01
Camden,January 2021,19893,2021-01-01
Camden,February 2021,20252,2021-02-01
Camden,March 2021,20503,2021-03-01
Camden,April 2021,20492,2021-04-01
Camden,May 2021,20443,2021-05-01
Camden,June 2021,20276,2021-06-01
Camden,July 2021,20188,2021-07-01
Camden,August 2021,19925,2021-08-01
Camden,September 2021,19736,2021-09-01
Camden,October 2021,19879,2021-10-01
Camden,November 2021,20097,2021-11-01
Camden,December 2021,19849,2021-12-01
Camden,January 2022,19614,2022-01-01
Camden,February 2022,19475,2022-02-01
Camden,March 2022,19194,2022-03-01
Camden,April 2022,19058,2022-04-01
Camden,May 2022,19041,2022-05-01
Camden,June 2022,19041,2022-06-01
Camden,July 2022,19158,2022-07-01
Camden,August 2022,19207,2022-08-01
Camden,September 2022,19306,2022-09-01
Camden,October 2022,19457,2022-10-01
Camden,November 2022,19437,2022-11-01
Camden,December 2022,19401,2022-12-01
Camden,January 2023,19403,2023-01-01
Camden,February 2023,19458,2023-02-01
Camden,March 2023,19458,2023-03-01
Camden,April 2023,19661,2023-04-01
Camden,May 2023,19795,2023-05-01
Camden,June 2023,19808,2023-06-01
Camden,July 2023,19911,2023-07-01
Camden,August 2023,20074,2023-08-01
Camden,September 2023,20248,2023-09-01
Camden,October 2023,20476,2023-10-01
Camden,November 2023,20697,2023-11-01
Camden,December 2023,21116,2023-12-01
City of London,January 2020,151,2020-01-01
City of London,February 2020,160,2020-02-01
City of London,March 2020,163,2020-03-01
City of London,April 2020,244,2020-04-01
City of London,May 2020,348,2020-05-01
City of London,June 2020,352,2020-06-01
City of London,July 2020,357,2020-07-01
City of London,August 2020,377,2020-08-01
City of London,September 2020,387,2020-09-01
City of London,October 2020,408,2020-10-01
City of London,November 2020,423,2020-11-01
City of London,December 2020,447,2020-12-01
City of London,January 2021,460,2021-01-01
City of London,February 2021,463,2021-02-01
City of London,March 2021,472,2021-03-01
City of London,April 2021,461,2021-04-01
City of London,May 2021,487,2021-05-01
City of London,June 2021,495,2021-06-01
City of London,July 2021,483,2021-07-01
City of London,August 2021,468,2021-08-01
City of London,September 2021,452,2021-09-01
City of London,October 2021,534,2021-10-01
City of London,November 2021,621,2021-11-01
City of London,December 2021,623,2021-12-01
City of London,January 2022,602,2022-01-01
City of London,February 2022,612,2022-02-01
City of London,March 2022,615,2022-03-01
City of London,April 2022,604,2022-04-01
City of London,May 2022,599,2022-05-01
City of London,June 2022,581,2022-06-01
City of London,July 2022,589,2022-07-01
City of London,August 2022,565,2022-08-01
City of London,September 2022,545,2022-09-01
City of London,October 2022,514,2022-10-01
City of London,November 2022,494,2022-11-01
City of London,December 2022,484,2022-12-01
City of London,January 2023,476,2023-01-01
City of London,February 2023,459,2023-02-01
City of London,March 2023,436,2023-03-01
City of London,April 2023,442,2023-04-01
City of London,May 2023,450,2023-05-01
City of London,June 2023,442,2023-06-01
City of London,July 2023,469,2023-07-01
City of London,August 2023,478,2023-08-01
City of London,September 2023,470,2023-09-01
City of London,October 2023,467,2023-10-01
City of London,November 2023,441,2023-11-01
City of London,December 2023,453,2023-12-01
Hackney,January 2020,12395,2020-01-01
Hackney,February 2020,13125,2020-02-01
Hackney,March 2020,13703,2020-03-01
Hackney,April 2020,18781,2020-04-01
Hackney,May 2020,27746,2020-05-01
Hackney,June 2020,29079,2020-06-01
Hackney,July 2020,30000,2020-07-01
Hackney,August 2020,30610,2020-08-01
Hackney,September 2020,31280,2020-09-01
Hackney,October 2020,31788,2020-10-01
Hackney,November 2020,32728,2020-11-01
Hackney,December 2020,33653,2020-12-01
Hackney,January 2021,34106,2021-01-01
Hackney,February 2021,34580,2021-02-01
Hackney,March 2021,34867,2021-03-01
Hackney,April 2021,35088,2021-04-01
Hackney,May 2021,35189,2021-05-01
Hackney,June 2021,34678,2021-06-01
Hackney,July 2021,34486,2021-07-01
Hackney,August 2021,34161,2021-08-01
Hackney,September 2021,33734,2021-09-01
Hackney,October 2021,33300,2021-10-01
Hackney,November 2021,33063,2021-11-01
Hackney,December 2021,32777,2021-12-01
Hackney,January 2022,32364,2022-01-01
Hackney,February 2022,32198,2022-02-01
Hackney,March 2022,31920,2022-03-01
Hackney,April 2022,31873,2022-04-01
Hackney,May 2022,31715,2022-05-01
Hackney,June 2022,31923,2022-06-01
Hackney,July 2022,32090,2022-07-01
Hackney,August 2022,31965,2022-08-01
Hackney,September 2022,32073,2022-09-01
Hackney,October 2022,32290,2022-10-01
Hackney,November 2022,32420,2022-11-01
Hackney,December 2022,32515,2022-12-01
Hackney,January 2023,32691,2023-01-01
Hackney,February 2023,32756,2023-02-01
Hackney,March 2023,32828,2023-03-01
Hackney,April 2023,33108,2023-04-01
Hackney,May 2023,33394,2023-05-01
Hackney,June 2023,33763,2023-06-01
Hackney,July 2023,34297,2023-07-01
Hackney,August 2023,34430,2023-08-01
Hackney,September 2023,34960,2023-09-01
Hackney,October 2023,35434,2023-10-01
Hackney,November 2023,35929,2023-11-01
Hackney,December 2023,36605,2023-12-01
Hammersmith and Fulham,January 2020,10309,2020-01-01
Hammersmith and Fulham,February 2020,10591,2020-02-01
Hammersmith and Fulham,March 2020,10717,2020-03-01
Hammersmith and Fulham,April 2020,12897,2020-04-01
Hammersmith and Fulham,May 2020,17980,2020-05-01
Hammersmith and Fulham,June 2020,18893,2020-06-01
Hammersmith and Fulham,July 2020,19272,2020-07-01
Hammersmith and Fulham,August 2020,19546,2020-08-01
Hammersmith and Fulham,September 2020,19950,2020-09-01
Hammersmith and Fulham,October 2020,20225,2020-10-01
Hammersmith and Fulham,November 2020,20986,2020-11-01
Hammersmith and Fulham,December 2020,21394,2020-12-01
Hammersmith and Fulham,January 2021,21516,2021-01-01
Hammersmith and Fulham,February 2021,21809,2021-02-01
Hammersmith and Fulham,March 2021,21907,2021-03-01
Hammersmith and Fulham,April 2021,21876,2021-04-01
Hammersmith and Fulham,May 2021,21842,2021-05-01
Hammersmith and Fulham,June 2021,21626,2021-06-01
Hammersmith and Fulham,July 2021,21301,2021-07-01
Hammersmith and Fulham,August 2021,21137,2021-08-01
Hammersmith and Fulham,September 2021,20905,2021-09-01
Hammersmith and Fulham,October 2021,20716,2021-10-01
Hammersmith and Fulham,November 2021,20450,2021-11-01
Hammersmith and Fulham,December 2021,20109,2021-12-01
Hammersmith and Fulham,January 2022,19770,2022-01-01
Hammersmith and Fulham,February 2022,19595,2022-02-01
Hammersmith and Fulham,March 2022,19376,2022-03-01
Hammersmith and Fulham,April 2022,19237,2022-04-01
Hammersmith and Fulham,May 2022,19109,2022-05-01
Hammersmith and Fulham,June 2022,19092,2022-06-01
Hammersmith and Fulham,July 2022,19122,2022-07-01
Hammersmith and Fulham,August 2022,19007,2022-08-01
Hammersmith and Fulham,September 2022,18951,2022-09-01
