National - Regional - LA - OAs,Month,People on Universal Credit,dttm
Kensington and Chelsea,November 2022,10512,2022-11-01
Kensington and Chelsea,December 2022,10532,2022-12-01
Kensington and Chelsea,January 2023,10516,2023-01-01
Kensington and Chelsea,February 2023,10516,2023-02-01
Kensington and Chelsea,March 2023,10522,2023-03-01
Kensington and Chelsea,April 2023,10544,2023-04-01
Kensington and Chelsea,May 2023,10591,2023-05-01
Kensington and Chelsea,June 2023,10641,2023-06-01
Kensington and Chelsea,July 2023,10716,2023-07-01
Kensington and Chelsea,August 2023,10720,2023-08-01
Kensington and Chelsea,September 2023,10797,2023-09-01
Kensington and Chelsea,October 2023,10949,2023-10-01
Kensington and Chelsea,November 2023,11083,2023-11-01
Kensington and Chelsea,December 2023,11302,2023-12-01
Lambeth,January 2020,16896,2020-01-01
Lambeth,February 2020,17541,2020-02-01
Lambeth,March 2020,18099,2020-03-01
Lambeth,April 2020,23290,2020-04-01
Lambeth,May 2020,33263,2020-05-01
Lambeth,June 2020,34937,2020-06-01
Lambeth,July 2020,35973,2020-07-01
Lambeth,August 2020,36769,2020-08-01
Lambeth,September 2020,37651,2020-09-01
Lambeth,October 2020,38329,2020-10-01
Lambeth,November 2020,39651,2020-11-01
Lambeth,December 2020,40669,2020-12-01
Lambeth,January 2021,41037,2021-01-01
Lambeth,February 2021,41400,2021-02-01
Lambeth,March 2021,41629,2021-03-01
Lambeth,April 2021,41539,2021-04-01
Lambeth,May 2021,41475,2021-05-01
Lambeth,June 2021,41016,2021-06-01
Lambeth,July 2021,40702,2021-07-01
Lambeth,August 2021,40498,2021-08-01
Lambeth,September 2021,39763,2021-09-01
Lambeth,October 2021,39033,2021-10-01
Lambeth,November 2021,38303,2021-11-01
Lambeth,December 2021,37608,2021-12-01
Lambeth,January 2022,36764,2022-01-01
Lambeth,February 2022,36503,2022-02-01
Lambeth,March 2022,36200,2022-03-01
Lambeth,April 2022,35832,2022-04-01
Lambeth,May 2022,35558,2022-05-01
Lambeth,June 2022,35492,2022-06-01
Lambeth,July 2022,35631,2022-07-01
Lambeth,August 2022,35630,2022-08-01
Lambeth,September 2022,35567,2022-09-01
Lambeth,October 2022,35623,2022-10-01
Lambeth,November 2022,35487,2022-11-01
Lambeth,December 2022,35460,2022-12-01
Lambeth,January 2023,35442,2023-01-01
Lambeth,February 2023,35454,2023-02-01
Lambeth,March 2023,35506,2023-03-01
Lambeth,April 2023,35688,2023-04-01
Lambeth,May 2023,35761,2023-05-01
Lambeth,June 2023,35967,2023-06-01
Lambeth,July 2023,36384,2023-07-01
Lambeth,August 2023,36511,2023-08-01
Lambeth,September 2023,36775,2023-09-01
Lambeth,October 2023,37084,2023-10-01
Lambeth,November 2023,37439,2023-11-01
Lambeth,December 2023,38257,2023-12-01
Lewisham,January 2020,16094,2020-01-01
Lewisham,February 2020,16825,2020-02-01
Lewisham,March 2020,17422,2020-03-01
Lewisham,April 2020,22885,2020-04-01
Lewisham,May 2020,32875,2020-05-01
Lewisham,June 2020,34480,2020-06-01
Lewisham,July 2020,35269,2020-07-01
Lewisham,August 2020,35999,2020-08-01
Lewisham,September 2020,36875,2020-09-01
Lewisham,October 2020,37524,2020-10-01
Lewisham,November 2020,38813,2020-11-01
Lewisham,December 2020,39557,2020-12-01
Lewisham,January 2021,39755,2021-01-01
Lewisham,February 2021,39994,2021-02-01
Lewisham,March 2021,40248,2021-03-01
Lewisham,April 2021,40126,2021-04-01
Lewisham,May 2021,40039,2021-05-01
Lewisham,June 2021,39929,2021-06-01
Lewisham,July 2021,39552,2021-07-01
Lewisham,August 2021,39184,2021-08-01
Lewisham,September 2021,38688,2021-09-01
Lewisham,October 2021,38030,2021-10-01
Lewisham,November 2021,37410,2021-11-01
Lewisham,December 2021,36907,2021-12-01
Lewisham,January 2022,36393,2022-01-01
Lewisham,February 2022,36264,2022-02-01
Lewisham,March 2022,35956,2022-03-01
Lewisham,April 2022,35870,2022-04-01
Lewisham,May 2022,35703,2022-05-01
Lewisham,June 2022,35675,2022-06-01
Lewisham,July 2022,36000,2022-07-01
Lewisham,August 2022,36177,2022-08-01
Lewisham,September 2022,36239,2022-09-01
Lewisham,October 2022,36468,2022-10-01
Lewisham,November 2022,36464,2022-11-01
Lewisham,December 2022,36497,2022-12-01
Lewisham,January 2023,36562,2023-01-01
Lewisham,February 2023,36757,2023-02-01
Lewisham,March 2023,36858,2023-03-01
Lewisham,April 2023,37192,2023-04-01
Lewisham,May 2023,37270,2023-05-01
Lewisham,June 2023,37397,2023-06-01
Lewisham,July 2023,37730,2023-07-01
Lewisham,August 2023,37801,2023-08-01
Lewisham,September 2023,37954,2023-09-01
Lewisham,October 2023,38344,2023-10-01
Lewisham,November 2023,38854,2023-11-01
Lewisham,December 2023,39807,2023-12-01
Newham,January 2020,17906,2020-01-01
Newham,February 2020,19014,2020-02-01
Newham,March 2020,19806,2020-03-01
Newham,April 2020,25744,2020-04-01
Newham,May 2020,41784,2020-05-01
Newham,June 2020,44861,2020-06-01
Newham,July 2020,46098,2020-07-01
Newham,August 2020,46830,2020-08-01
Newham,September 2020,48054,2020-09-01
Newham,October 2020,49147,2020-10-01
Newham,November 2020,51569,2020-11-01
Newham,December 2020,53350,2020-12-01
Newham,January 2021,53802,2021-01-01
Newham,February 2021,54716,2021-02-01
Newham,March 2021,55471,2021-03-01
Newham,April 2021,55632,2021-04-01
Newham,May 2021,55666,2021-05-01
Newham,June 2021,55414,2021-06-01
Newham,July 2021,55282,2021-07-01
Newham,August 2021,55063,2021-08-01
Newham,September 2021,54434,2021-09-01
Newham,October 2021,54027,2021-10-01
Newham,November 2021,53865,2021-11-01
Newham,December 2021,53293,2021-12-01
Newham,January 2022,51762,2022-01-01
Newham,February 2022,51274,2022-02-01
Newham,March 2022,50682,2022-03-01
Newham,April 2022,50532,2022-04-01
Newham,May 2022,50429,2022-05-01
Newham,June 2022,50292,2022-06-01
Newham,July 2022,50280,2022-07-01
Newham,August 2022,50368,2022-08-01
Newham,September 2022,50102,2022-09-01
Newham,October 2022,50414,2022-10-01
Newham,November 2022,50553,2022-11-01
Newham,December 2022,50600,2022-12-01
Newham,January 2023,50485,2023-01-01
Newham,February 2023,50599,2023-02-01
Newham,March 2023,50607,2023-03-01
Newham,April 2023,50714,2023-04-01
Newham,May 2023,50660,2023-05-01
Newham,June 2023,50890,2023-06-01
Newham,July 2023,51260,2023-07-01
Newham,August 2023,51583,2023-08-01
Newham,September 2023,52301,2023-09-01
Newham,October 2023,52562,2023-10-01
Newham,November 2023,53109,2023-11-01
Newham,December 2023,54425,2023-12-01
Southwark,January 2020,21265,2020-01-01
Southwark,February 2020,21870,2020-02-01
Southwark,March 2020,22247,2020-03-01
Southwark,April 2020,28303,2020-04-01
Southwark,May 2020,36465,2020-05-01
Southwark,June 2020,38023,2020-06-01
Southwark,July 2020,38978,2020-07-01
Southwark,August 2020,39566,2020-08-01
Southwark,September 2020,40656,2020-09-01
Southwark,October 2020,41172,2020-10-01
Southwark,November 2020,42303,2020-11-01
Southwark,December 2020,43000,2020-12-01
Southwark,January 2021,43243,2021-01-01
Southwark,February 2021,43587,2021-02-01
Southwark,March 2021,43787,2021-03-01
Southwark,April 2021,43669,2021-04-01
Southwark,May 2021,43359,2021-05-01
Southwark,June 2021,42781,2021-06-01
Southwark,July 2021,42330,2021-07-01
Southwark,August 2021,41915,2021-08-01
Southwark,September 2021,41369,2021-09-01
Southwark,October 2021,40681,2021-10-01
Southwark,November 2021,40096,2021-11-01
Southwark,December 2021,39469,2021-12-01
Southwark,January 2022,38653,2022-01-01
Southwark,February 2022,38219,2022-02-01
Southwark,March 2022,37759,2022-03-01
Southwark,April 2022,37526,2022-04-01
Southwark,May 2022,37317,2022-05-01
Southwark,June 2022,37115,2022-06-01
Southwark,July 2022,36971,2022-07-01
Southwark,August 2022,37019,2022-08-01
Southwark,September 2022,37071,2022-09-01
Southwark,October 2022,37210,2022-10-01
Southwark,November 2022,37211,2022-11-01
Southwark,December 2022,37183,2022-12-01
Southwark,January 2023,37112,2023-01-01
Southwark,February 2023,37187,2023-02-01
Southwark,March 2023,37146,2023-03-01
Southwark,April 2023,37178,2023-04-01
Southwark,May 2023,37312,2023-05-01
Southwark,June 2023,37425,2023-06-01
Southwark,July 2023,37524,2023-07-01
Southwark,August 2023,37607,2023-08-01
Southwark,September 2023,37867,2023-09-01
Southwark,October 2023,38214,2023-10-01
Southwark,November 2023,38542,2023-11-01
Southwark,December 2023,39546,2023-12-01
Tower Hamlets,January 2020,19120,2020-01-01
Tower Hamlets,February 2020,19806,2020-02-01
Tower Hamlets,March 2020,20244,2020-03-01
Tower Hamlets,April 2020,27737,2020-04-01
Tower Hamlets,May 2020,35786,2020-05-01
Tower Hamlets,June 2020,37323,2020-06-01
Tower Hamlets,July 2020,38500,2020-07-01
Tower Hamlets,August 2020,39305,2020-08-01
Tower Hamlets,September 2020,40253,2020-09-01
Tower Hamlets,October 2020,41170,2020-10-01
Tower Hamlets,November 2020,43002,2020-11-01
Tower Hamlets,December 2020,43973,2020-12-01
Tower Hamlets,January 2021,44711,2021-01-01
Tower Hamlets,February 2021,45184,2021-02-01
Tower Hamlets,March 2021,45760,2021-03-01
Tower Hamlets,April 2021,46000,2021-04-01
Tower Hamlets,May 2021,46251,2021-05-01
Tower Hamlets,June 2021,46596,2021-06-01
Tower Hamlets,July 2021,46831,2021-07-01
Tower Hamlets,August 2021,46811,2021-08-01
Tower Hamlets,September 2021,46129,2021-09-01
Tower Hamlets,October 2021,45582,2021-10-01
Tower Hamlets,November 2021,44988,2021-11-01
Tower Hamlets,December 2021,44352,2021-12-01
Tower Hamlets,January 2022,43702,2022-01-01
Tower Hamlets,February 2022,43501,2022-02-01
Tower Hamlets,March 2022,43057,2022-03-01
Tower Hamlets,April 2022,43031,2022-04-01
Tower Hamlets,May 2022,42890,2022-05-01
Tower Hamlets,June 2022,42773,2022-06-01
Tower Hamlets,July 2022,43082,2022-07-01
Tower Hamlets,August 2022,43239,2022-08-01
Tower Hamlets,September 2022,43261,2022-09-01
Tower Hamlets,October 2022,43602,2022-10-01
Tower Hamlets,November 2022,43707,2022-11-01
Tower Hamlets,December 2022,43744,2022-12-01
Tower Hamlets,January 2023,43629,2023-01-01
Tower Hamlets,February 2023,43788,2023-02-01
Tower Hamlets,March 2023,43723,2023-03-01
Tower Hamlets,April 2023,43878,2023-04-01
Tower Hamlets,May 2023,44123,2023-05-01
Tower Hamlets,June 2023,44472,2023-06-01
Tower Hamlets,July 2023,44836,2023-07-01
Tower Hamlets,August 2023,45185,2023-08-01
Tower Hamlets,September 2023,45531,2023-09-01
Tower Hamlets,October 2023,45811,2023-10-01
Tower Hamlets,November 2023,46268,2023-11-01
Tower Hamlets,December 2023,47387,2023-12-01
Wandsworth,January 2020,9305,2020-01-01
Wandsworth,February 2020,9840,2020-02-01
Wandsworth,March 2020,10228,2020-03-01
Wandsworth,April 2020,13697,2020-04-01
Wandsworth,May 2020,21620,2020-05-01
Wandsworth,June 2020,22895,2020-06-01
Wandsworth,July 2020,23615,2020-07-01
Wandsworth,August 2020,24114,2020-08-01
Wandsworth,September 2020,24734,2020-09-01
Wandsworth,October 2020,25234,2020-10-01
Wandsworth,November 2020,26239,2020-11-01
Wandsworth,December 2020,27099,2020-12-01
Wandsworth,January 2021,27314,2021-01-01
Wandsworth,February 2021,27558,2021-02-01
Wandsworth,March 2021,27682,2021-03-01
Wandsworth,April 2021,27425,2021-04-01
Wandsworth,May 2021,27337,2021-05-01
Wandsworth,June 2021,26992,2021-06-01
Wandsworth,July 2021,26624,2021-07-01
Wandsworth,August 2021,26407,2021-08-01
Wandsworth,September 2021,25980,2021-09-01
Wandsworth,October 2021,25582,2021-10-01
Wandsworth,November 2021,25004,2021-11-01
